Cena;Data dodania;Lokalizacja;Na sprzedaż przez;Rodzaj nieruchomości;Liczba pokoi;Liczba łazienek;Wielkość (m2);Parking
519000;03/04/2020;Praga Północ, Warszawa;Właściciel;Mieszkanie;4 pokoje;1 łazienka;50;
619000;03/04/2020;Wilanów, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;53;Ulica
950000;27/01/2020;Wilanów, Warszawa;Właściciel;Mieszkanie;3 pokoje;2 łazienki;90;Garaż
1160000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;4 pokoje;1 łazienka;84;Ulica
799000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;82;Ulica
550000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;49;Ulica
655000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;55;Brak
576248;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;45;
519480;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;49;
505000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;47;
519000;22/04/2020;Praga Północ, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;62;
1790000;22/04/2020;Wawer, Warszawa;Agencja;Dom;5 pokoi;3 łazienki;380;
599000;22/04/2020;Ursynów, Warszawa;Agencja;Dom;5 pokoi;3 łazienki;210;
523500;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;35;
580000;22/04/2020;Bielany, Warszawa;Właściciel;Mieszkanie;3 pokoje;1 łazienka;56;
399999;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;35;
635000;22/04/2020;Ursynów, Warszawa;Właściciel;Mieszkanie;4 pokoje;1 łazienka;58;
599000;22/04/2020;Mokotów, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;44;
485000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;43;
497000;22/04/2020;Mokotów, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;32;
505990;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;4 pokoje;;56;
521500;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;3 pokoje;;69;
268500;22/04/2020;Rembertów, Warszawa;Agencja;Mieszkanie;2 pokoje;;35;
389000;20/01/2020;Białołęka, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;50;
430000;30/03/2020;Śródmieście, Warszawa;Właściciel;Mieszkanie;2 pokoje;;27;
480000;17/02/2020;Wawer, Warszawa;Właściciel;Mieszkanie;2 pokoje;2 łazienki;58;Garaż
589000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;51;
557650;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;4 pokoje;;61;
448000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;2 pokoje;;41;
727999;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;60;
1020000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;68;Ulica
699000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;3 pokoje;;112;
399000;11/03/2020;Wesoła, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;47;Ulica
699000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;47;
570000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;53;Garaż
